Symbol,Security,SECFilings,GICSSector,GICSSubIndustry,HeadquartersLocation,DateFirstAdded,CIK,Founded,,
ATVI,Activision Blizzard,reports,Communication Services,Interactive Home Entertainment,"Santa Monica, California",31/8/2015,718877,2008,,
GOOGL,Alphabet Inc. (Class A),reports,Communication Services,Interactive Media & Services,"Mountain View, California",3/4/2014,1652044,1998,,
GOOG,Alphabet Inc. (Class C),reports,Communication Services,Interactive Media & Services,"Mountain View, California",3/4/2006,1652044,1998,,
T,AT&T Inc.,reports,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",1983-11-30 (1957-03-04),732717,1983 (1885),,
CTL,CenturyLink Inc,reports,Communication Services,Alternative Carriers,"Monroe, Louisiana",25/3/1999,18926,1983 (1877),,
CHTR,Charter Communications,reports,Communication Services,Cable & Satellite,"Stamford, Connecticut",8/9/2016,1091667,1993,,
CMCSA,Comcast Corp.,reports,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",18/9/2015,1166691,1963,,
DISCA,"Discovery, Inc. (Class A)",reports,Communication Services,Broadcasting,"Silver Spring, Maryland",1/3/2010,1437107,1985,,
DISCK,"Discovery, Inc. (Class C)",reports,Communication Services,Broadcasting,"Silver Spring, Maryland",7/8/2014,1437107,1985,,
DISH,Dish Network,reports,Communication Services,Cable & Satellite,"Meridian, Colorado",13/3/2017,1001082,1980,,
EA,Electronic Arts,reports,Communication Services,Interactive Home Entertainment,"Redwood City, California",22/7/2002,712515,1982,,
FB,"Facebook, Inc.",reports,Communication Services,Interactive Media & Services,"Menlo Park, California",23/12/2013,1326801,2004,,
FOXA,Fox Corporation (Class A),reports,Communication Services,Movies & Entertainment,"New York, New York",1/7/2013,1308161,,,
FOX,Fox Corporation (Class B),reports,Communication Services,Movies & Entertainment,"New York, New York",18/9/2015,1308161,,,
IPG,Interpublic Group,reports,Communication Services,Advertising,"New York, New York",1/10/1992,51644,1961 (1930),,
LYV,Live Nation Entertainment,reports,Communication Services,Movies & Entertainment,"Beverly Hills, California",23/12/2019,1335258,2010,,
NFLX,Netflix Inc.,reports,Communication Services,Movies & Entertainment,"Los Gatos, California",20/12/2010,1065280,1997,,
NWSA,News Corp. Class A,reports,Communication Services,Publishing,"New York, New York",1/8/2013,1564708,2013 (1980),,
NWS,News Corp. Class B,reports,Communication Services,Publishing,"New York, New York",18/9/2015,1564708,2013 (1980),,
OMC,Omnicom Group,reports,Communication Services,Advertising,"New York, New York",,29989,1986,,
TMUS,T-Mobile US,reports,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",15/7/2019,1283699,1994,,
TTWO,Take-Two Interactive,reports,Communication Services,Interactive Home Entertainment,"New York, New York",19/3/2018,946581,1993,,
DIS,The Walt Disney Company,reports,Communication Services,Movies & Entertainment,"Burbank, California",30/6/1976,1001039,1923,,
TWTR,"Twitter, Inc.",reports,Communication Services,Interactive Media & Services,"San Francisco, California",7/6/2018,1418091,2006,,
VZ,Verizon Communications,reports,Communication Services,Integrated Telecommunication Services,"New York, New York",30/11/1983,732712,1983 (1877),,
VIAC,ViacomCBS,reports,Communication Services,Movies & Entertainment,"New York, New York",,1339947,2019 (1952),,
AAP,Advance Auto Parts,reports,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",9/7/2015,1158449,1932,,
AMZN,Amazon.com Inc.,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",18/11/2005,1018724,1994,,
APTV,Aptiv PLC,reports,Consumer Discretionary,Auto Parts & Equipment,"Dublin, Ireland",24/12/2012,1521332,1994,,
AZO,AutoZone Inc,reports,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",2/1/1997,866787,1979,,
BBY,Best Buy Co. Inc.,reports,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",29/6/1999,764478,1966,,
BKNG,Booking Holdings Inc,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Norwalk, Connecticut",6/11/2009,1075531,1996,,
BWA,BorgWarner,reports,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",19/12/2011,908255,1880,,
KMX,Carmax Inc,reports,Consumer Discretionary,Specialty Stores,"Richmond, Virginia",28/6/2010,1170010,1993,,
CCL,Carnival Corp.,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",22/12/1998,815097,1972,,
CMG,Chipotle Mexican Grill,reports,Consumer Discretionary,Restaurants,"Newport Beach, California",28/4/2011,1058090,1993,,
